"ORGANIZATION_ID","ORGANIZATION_NAME","ORG_ID","DEPLOYMENT_ID","NAME","DESCRIPTION","CATEGORY","CHAR_SET","DATA_CENTER","DEPLOYMENT_DATE","EXPIRATION_DATE","TYPE","FOLDER_ID","FOLDER_NAME","MESSAGE_ID","MESSAGE_NAME","EMAIL_SETTINGS_ID","HTML_CONTENT_ID","MOBILE_CONTENT_ID","SUBJECT_CONTENT_ID","SUBJECT","TEXT_CONTENT_ID","WORKFLOW_DEP_ID","WORKFLOW_DEP_INST_ID","IS_WINNER","LIST_COUNT","LIMIT_EMAILDELIVERY_RATE","EMAIL_DELIVERY_RATE","DELIVERY_STATUS","CREATED_BY","CREATED_DATE","MODIFIED_BY","MODIFIED_DATE","AGGREGATION_VERSION","CHANNEL_TYPE","IS_ABSPLIT_CONFIGURED","IS_EXPEDITED_DELIVERY","VISUAL_HTML_CONTENT_ID","ORG_ID_1","MESSAGE_ID_1","DEPLOYMENT_ID_1","LIST_ID","INJECTED_CNT","SMTP_DELIVERED_CNT","SMTP_REPLY_CNT","SMTP_ABUSE_CNT","HTTP_OPTIN_CNT","HTTP_OPTOUT_CNT","HTTP_WEBEVENT_CNT","UNIQUE_CLICKER_CNT","UNIQUE_RESPONDER_CNT","CREATED_BY_1","CREATED_DATE_1","MODIFIED_BY_1","MODIFIED_DATE_1","SMTP_OPTOUT_REPLY_CNT","SMTP_OPTOUT_LIST_CNT","HTTP_OPTOUT_REDIRECT_CNT"
"56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","AutomationUI","56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","1fd0fa11-3a69-4b71-a505-32db11e4040c","testDE2312","","BIRTHDAY_ANNIVERSARY","UTF_8","Irving",12-JUN-13 04.00.00.000000000 AM,12-JUN-20 04.00.00.000000000 AM,"PROOF","9a16e2bc-4e14-4c7f-abb0-6e36c3bd2e73","Messages","d63c0677-2fae-4da4-b65b-707ac2fe3e48","Messages","a60c116a-f134-4c21-b5c6-a2e7ec28ed1c","3ae71c3f-d7f9-48dc-a332-6ca96120f4b1","","44b5dd17-bf21-4728-9413-798ca209f50d","testDE2312","caf257b1-1265-448a-9554-a36511450c35","","",0,0,0,0,"","Anonymous",06-FEB-13 05.17.32.523000000 PM,"Anonymous",06-FEB-13 05.17.32.523000000 PM,"","",0,0,"","56917dc0-6cf3-4dfe-9e42-f39bd2ed1468","d63c0677-2fae-4da4-b65b-707ac2fe3e48","1fd0fa11-3a69-4b71-a505-32db11e4040c","0000000000000000",1,0,0,0,0,0,0,0,0,"SysUser",06-FEB-13 05.17.06.000000000 PM,"SysUser",06-FEB-13 05.17.06.000000000 PM,0,0,0
"5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","PadmaReportTest","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","dc8362ab-48c4-4070-9f58-f034ffd06818","UniqueclickersMessage2/7/2013","","WELCOME","UTF_8","Irving",07-FEB-13 06.44.02.734000000 PM,,"PROOF","67d9b758-0c84-4212-a6b4-20dc1a65336f","SummaryReportTest","1a13f552-1f51-418a-8531-00ec8b40b7d2","UniqueclickersMessage2/7/2013","11a38562-24e3-4820-91d1-f91ef02b6863","8e95f9d7-bdaf-4281-afdb-fe54e61a7549","cfe55f3d-75a6-4453-9968-dcb091866713","4eae6fba-02b1-41b5-b833-3068c1625823","UniqueclickersMessage2/7/2013","a8b17e58-fa2e-4a1c-8847-441866da9f3f","","",0,0,0,0,"","Anonymous",07-FEB-13 06.44.03.410000000 PM,"Anonymous",07-FEB-13 06.44.03.410000000 PM,"","",0,0,"","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","1a13f552-1f51-418a-8531-00ec8b40b7d2","dc8362ab-48c4-4070-9f58-f034ffd06818","0000000000000000",0,1,0,0,0,0,0,0,1,"SysUser",07-FEB-13 06.43.13.000000000 PM,"SysUser",07-FEB-13 06.44.07.000000000 PM,0,0,0
"2af4d1d9-ea87-4935-8147-79ecb601a597","Leena Anand BU","2af4d1d9-ea87-4935-8147-79ecb601a597","d2627e59-e258-4997-adcb-c308d0a3540f","test_leena_de2445_1","","NEWSLETTER","UTF_8","Irving",07-FEB-13 08.44.44.768000000 PM,,"RTM","4d80dca3-6baf-43f3-ba43-36dd5a8fd7b8","test","89664c69-c68b-4e81-a12c-209d0eba6cb3","test_leena_de2445_1","8b15f442-a96c-48f4-8d4e-884cec622b6b","de089470-8734-4f6a-8344-f2fbb9a72ac7","","b93c675f-64ab-4e6c-8bf3-619874e8b52d","test_leena_de2445_1","","","",0,0,0,0,"","Anonymous",07-FEB-13 08.44.46.815000000 PM,"Anonymous",07-FEB-13 08.44.46.815000000 PM,"","",0,0,"","2af4d1d9-ea87-4935-8147-79ecb601a597","89664c69-c68b-4e81-a12c-209d0eba6cb3","d2627e59-e258-4997-adcb-c308d0a3540f","0000000000000000",0,2,0,0,0,0,0,1,1,"SysUser",07-FEB-13 08.44.07.000000000 PM,"SysUser",07-FEB-13 08.47.06.000000000 PM,0,0,0
"5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","PadmaReportTest","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","84c0fe97-0947-4ed2-a398-a4d29eabebe7","UniqueclickersMessage2/7/2013","","WELCOME","UTF_8","Irving",07-FEB-13 09.01.14.503000000 PM,,"RTM","4d80dca3-6baf-43f3-ba43-36dd5a8fd7b8","test","e5e714af-0af9-4baf-9734-492f7336253d","UniqueclickersMessage2/7/2013","11a38562-24e3-4820-91d1-f91ef02b6863","649b30e3-9032-456c-bc4f-35c65f9b12e7","2c7c9ba2-b5c5-4080-bd84-d5fd0fd9a0f9","db8d8dc8-bf80-4d08-b517-ebf171f8cfc6","UniqueclickersMessage2/7/2013","d51bf3a0-71f6-43d5-b683-754300f00b1c","","",0,0,0,0,"","Anonymous",07-FEB-13 09.01.18.441000000 PM,"Anonymous",07-FEB-13 09.01.18.441000000 PM,"","",0,0,"","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","e5e714af-0af9-4baf-9734-492f7336253d","84c0fe97-0947-4ed2-a398-a4d29eabebe7","0000000000000000",0,1,0,0,0,0,0,0,0,"SysUser",07-FEB-13 09.00.07.000000000 PM,"SysUser",07-FEB-13 09.00.07.000000000 PM,0,0,0
"2af4d1d9-ea87-4935-8147-79ecb601a597","Leena Anand BU","2af4d1d9-ea87-4935-8147-79ecb601a597","947fbfa0-4382-4b88-b7d6-243021156f13","leena_02062013_message","","NEWSLETTER","UTF_8","Irving",12-JUN-13 04.00.00.000000000 AM,12-JUN-20 04.00.00.000000000 AM,"RTM","d79f1dd2-a2a5-4113-acd5-0a7c05982a81","CampaignReportsIntegratedTests","caaa3858-2033-47c6-981d-508512702500","CampaignReportsIntegratedTests","8b15f442-a96c-48f4-8d4e-884cec622b6b","4c924f79-e1a2-4eac-957b-ffc808194087","","e2020262-b1fa-45b4-9317-c9812808d9d5","leena_02062013_message subject line","","","",0,0,0,0,"","Anonymous",06-FEB-13 01.43.18.527000000 PM,"Anonymous",06-FEB-13 01.43.18.527000000 PM,"","",0,0,"","2af4d1d9-ea87-4935-8147-79ecb601a597","caaa3858-2033-47c6-981d-508512702500","947fbfa0-4382-4b88-b7d6-243021156f13","0000000000000000",5,3,0,0,0,0,0,1,1,"SysUser",06-FEB-13 02.41.21.000000000 PM,"SysUser",06-FEB-13 02.41.26.000000000 PM,0,0,0
"5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","PadmaReportTest","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","05dd4dd7-b0b1-47db-8509-71a26285f7b6","Message2/6/2013","","WELCOME","UTF_8","Irving",12-JUN-13 04.00.00.000000000 AM,12-JUN-20 04.00.00.000000000 AM,"RTM","67d9b758-0c84-4212-a6b4-20dc1a65336f","SummaryReportTest","1d632f1d-9916-4213-962c-b8dd8cf7f664","SummaryReportTest","11a38562-24e3-4820-91d1-f91ef02b6863","b947a797-1061-48fc-a0c5-0bd55d632e6a","b5831003-ed20-4385-918d-74c4b7b401cc","fd1e5472-3bec-4758-8c50-7e68d47b6f09","Message2/6/2013","a9e0b1b9-b06c-4c60-833b-fc3e0c022f16","","",0,0,0,0,"","Anonymous",06-FEB-13 02.19.36.329000000 PM,"Anonymous",06-FEB-13 02.19.36.329000000 PM,"","",0,0,"","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","1d632f1d-9916-4213-962c-b8dd8cf7f664","05dd4dd7-b0b1-47db-8509-71a26285f7b6","0000000000000000",1,2,0,0,0,0,0,1,1,"SysUser",06-FEB-13 02.41.35.000000000 PM,"SysUser",07-FEB-13 06.13.07.000000000 PM,0,0,0
"5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","PadmaReportTest","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","adadad84-8fd2-4de1-bda9-fe17ddb79a04","Message2/6/2013","","WELCOME","UTF_8","Irving",12-JUN-13 04.00.00.000000000 AM,12-JUN-20 04.00.00.000000000 AM,"PROOF","67d9b758-0c84-4212-a6b4-20dc1a65336f","SummaryReportTest","1d632f1d-9916-4213-962c-b8dd8cf7f664","SummaryReportTest","11a38562-24e3-4820-91d1-f91ef02b6863","b817096b-e844-4288-9c6e-15edebfab0e0","73152492-fd2f-4289-84b8-edf3c37858fa","9ac091e3-2f36-4816-8f0a-9cf7d29eb04c","Message2/6/2013","3aeef369-9186-4d4d-982a-6a69e21c34df","","",0,0,0,0,"","Anonymous",06-FEB-13 02.19.47.766000000 PM,"Anonymous",06-FEB-13 02.19.47.766000000 PM,"","",0,0,"","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","1d632f1d-9916-4213-962c-b8dd8cf7f664","adadad84-8fd2-4de1-bda9-fe17ddb79a04","0000000000000000",1,1,0,0,0,0,0,0,1,"SysUser",06-FEB-13 02.41.41.000000000 PM,"SysUser",06-FEB-13 02.41.51.000000000 PM,0,0,0
"2af4d1d9-ea87-4935-8147-79ecb601a597","Leena Anand BU","2af4d1d9-ea87-4935-8147-79ecb601a597","6bab1cfa-1eff-4845-88d1-88cbf656ee5d","Test 2315","","BIRTHDAY_ANNIVERSARY","UTF_8","Irving",12-JUN-13 04.00.00.000000000 AM,12-JUN-20 04.00.00.000000000 AM,"RTM","d79f1dd2-a2a5-4113-acd5-0a7c05982a81","CampaignReportsIntegratedTests","a225687e-2ceb-4db0-a644-7a473a646814","CampaignReportsIntegratedTests","fde8a31f-72c4-4b9b-9da3-d522002bb148","574fd4ad-3023-4861-bccb-6ea30329c61d","","b4990cdd-c0f2-4b31-b8cc-58159f163a80","Test defect 2315","ec06a0c8-b4f6-4ef4-9d17-7b242c182e1d","","",0,0,0,0,"","Anonymous",06-FEB-13 03.09.58.640000000 PM,"Anonymous",06-FEB-13 03.09.58.640000000 PM,"","",0,0,"","2af4d1d9-ea87-4935-8147-79ecb601a597","a225687e-2ceb-4db0-a644-7a473a646814","6bab1cfa-1eff-4845-88d1-88cbf656ee5d","0000000000000000",3,3,0,0,0,0,0,3,3,"SysUser",06-FEB-13 03.09.06.000000000 PM,"SysUser",06-FEB-13 03.26.06.000000000 PM,0,0,0
"5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","PadmaReportTest","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","93ef466b-d063-440f-9f05-ee2031387e8f","SecondMessage2/6/2013","","WELCOME","UTF_8","Irving",12-JUN-13 04.00.00.000000000 AM,12-JUN-20 04.00.00.000000000 AM,"RTM","67d9b758-0c84-4212-a6b4-20dc1a65336f","SummaryReportTest","e9d56da2-a6f2-474d-b325-81233c5edab2","SummaryReportTest","11a38562-24e3-4820-91d1-f91ef02b6863","75622c2f-46fb-463c-99a9-50f2f12affdb","383d5da1-fdb6-4361-acb9-a23bd3476a5e","46290835-96ec-4d43-b082-d6f011e60dbf","SecondMessage2/6/2013","d07c0001-551b-4b42-aab8-eabff50597ad","","",0,0,0,0,"","Anonymous",06-FEB-13 03.46.28.116000000 PM,"Anonymous",06-FEB-13 03.46.28.116000000 PM,"","",0,0,"","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","e9d56da2-a6f2-474d-b325-81233c5edab2","93ef466b-d063-440f-9f05-ee2031387e8f","0000000000000000",1,1,0,0,0,0,0,1,1,"SysUser",06-FEB-13 03.45.07.000000000 PM,"SysUser",06-FEB-13 03.46.08.000000000 PM,0,0,0
"5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","PadmaReportTest","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","c967e6b3-1fad-495e-b7d1-095a3372d6a5","ThirdMessage2/7/2013","","WELCOME","UTF_8","Irving",07-FEB-13 06.19.23.274000000 PM,,"RTM","3aab97fb-be90-476f-8884-fdbfa5505d58","LinkClickReportTest","83ce962c-326e-462e-b5a1-b37ccb7676d5","ThirdMessage2/7/2013","11a38562-24e3-4820-91d1-f91ef02b6863","ea2a0c04-1093-46a1-9caf-3cea4ea8b59b","b52fc080-6e0b-43fa-80cc-01dac4315950","86645460-444e-4697-8f8a-bce5a80914bf","ThirdMessage2/7/2013","","","",0,0,0,0,"","Anonymous",07-FEB-13 06.19.25.976000000 PM,"Anonymous",07-FEB-13 06.19.25.976000000 PM,"","",0,0,"","5c908405-ba0c-4f68-a7e5-d0bfdeacc6f4","83ce962c-326e-462e-b5a1-b37ccb7676d5","c967e6b3-1fad-495e-b7d1-095a3372d6a5","0000000000000000",0,1,0,0,0,0,0,1,1,"SysUser",07-FEB-13 06.19.07.000000000 PM,"SysUser",07-FEB-13 06.19.07.000000000 PM,0,0,0
